Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
New Zealand,Australia,Australia,44 runs,Auckland,"Feb 17, 2005",T20I # 1,Australia,Batting,New Zealand
England,Australia,England,100 runs,Southampton,"Jun 13, 2005",T20I # 2,England,Balanced,England (United Kingdom)
South Africa,New Zealand,New Zealand,5 wickets,Johannesburg,"Oct 21, 2005",T20I # 3,South Africa,Batting,South Africa
Australia,South Africa,Australia,95 runs,Brisbane,"Jan 9, 2006",T20I # 4,Australia,Batting,Australia
New Zealand,West Indies,0,-,Auckland,"Feb 16, 2006",T20I # 5,New Zealand,Batting,New Zealand
South Africa,Australia,South Africa,2 runs,Johannesburg,"Feb 24, 2006",T20I # 6,South Africa,Batting,South Africa
England,Sri Lanka,Sri Lanka,2 runs,Southampton,"Jun 15, 2006",T20I # 7,Sri Lanka,Balanced,England (United Kingdom)
England,Pakistan,Pakistan,5 wickets,Bristol,"Aug 28, 2006",T20I # 8,England,Balanced,England (United Kingdom)
Bangladesh,Zimbabwe,Bangladesh,43 runs,Khulna,"Nov 28, 2006",T20I # 9,Bangladesh,Balanced,Bangladesh
South Africa,India,India,6 wickets,Johannesburg,"Dec 1, 2006",T20I # 10,South Africa,Batting,South Africa
New Zealand,Sri Lanka,Sri Lanka,18 runs,Wellington,"Dec 22, 2006",T20I # 11,Sri Lanka,Balanced,New Zealand
New Zealand,Sri Lanka,New Zealand,5 wickets,Auckland,"Dec 26, 2006",T20I # 12,Sri Lanka,Batting,New Zealand
Australia,England,Australia,77 runs,Sydney,"Jan 9, 2007",T20I # 13,Australia,Balanced,Australia
South Africa,Pakistan,South Africa,10 wickets,Johannesburg,"Feb 2, 2007",T20I # 14,Pakistan,Batting,South Africa
England,West Indies,West Indies,15 runs,The Oval,"Jun 28, 2007",T20I # 15,West Indies,Balanced,England (United Kingdom)
England,West Indies,England,5 wickets,The Oval,"Jun 29, 2007",T20I # 16,West Indies,Balanced,England (United Kingdom)
