Team_1,Team_2,Winner,Margin,Ground,Match Date,Bat first,Pitch Advantage,Home Advantage
Australia,England,Australia,5 wickets,Melbourne,"Jan 5, 1971",England,Balanced,Australia
England,Australia,England,6 wickets,Manchester,"Aug 24, 1972",Australia,Bowling,England (United Kingdom)
England,Australia,Australia,5 wickets,Lord's,"Aug 26, 1972",England,Balanced,England (United Kingdom)
England,Australia,England,2 wickets,Birmingham,"Aug 28, 1972",Australia,Balanced,England (United Kingdom)
New Zealand,Pakistan,New Zealand,22 runs,Christchurch,"Feb 11, 1973",New Zealand,Balanced,New Zealand
England,New Zealand,England,7 wickets,Swansea,"Jul 18, 1973",New Zealand,Balanced,Wales (United Kingdom)
England,New Zealand,0,-,Manchester,"Jul 20, 1973",New Zealand,Bowling,England (United Kingdom)
England,West Indies,England,1 wicket,Leeds,"Sep 5, 1973",West Indies,Balanced,England (United Kingdom)
England,West Indies,West Indies,8 wickets,The Oval,"Sep 7, 1973",England,Balanced,England (United Kingdom)
New Zealand,Australia,Australia,7 wickets,Dunedin,"Mar 30, 1974",New Zealand,Balanced,New Zealand
New Zealand,Australia,Australia,31 runs,Christchurch,"Mar 31, 1974",Australia,Balanced,New Zealand
England,India,England,4 wickets,Leeds,"Jul 13, 1974",India,Balanced,England (United Kingdom)
England,India,England,6 wickets,The Oval,"Jul 15-16, 1974",India,Balanced,England (United Kingdom)
England,Pakistan,Pakistan,7 wickets,Nottingham,"Aug 31, 1974",England,Balanced,England (United Kingdom)
England,Pakistan,Pakistan,8 wickets,Birmingham,"Sep 3, 1974",England,Balanced,England (United Kingdom)
Australia,England,England,3 wickets,Melbourne,"Jan 1, 1975",Australia,Balanced,Australia
New Zealand,England,0,-,Dunedin,"Mar 8, 1975",England,Balanced,New Zealand
New Zealand,England,0,-,Wellington,"Mar 9, 1975",England,Balanced,New Zealand
England,India,England,202 runs,Lord's,"Jun 7, 1975",England,Balanced,England (United Kingdom)
East Africa,New Zealand,New Zealand,181 runs,Birmingham,"Jun 7, 1975",New Zealand,Balanced,England (United Kingdom)
Australia,Pakistan,Australia,73 runs,Leeds,"Jun 7, 1975",Australia,Balanced,England (United Kingdom)
Sri Lanka,West Indies,West Indies,9 wickets,Manchester,"Jun 7, 1975",Sri Lanka,Bowling,England (United Kingdom)
England,New Zealand,England,80 runs,Nottingham,"Jun 11, 1975",England,Balanced,England (United Kingdom)
East Africa,India,India,10 wickets,Leeds,"Jun 11, 1975",East Africa,Balanced,England (United Kingdom)
Australia,Sri Lanka,Australia,52 runs,The Oval,"Jun 11, 1975",Australia,Balanced,England (United Kingdom)
Pakistan,West Indies,West Indies,1 wicket,Birmingham,"Jun 11, 1975",Pakistan,Balanced,England (United Kingdom)
England,East Africa,England,196 runs,Birmingham,"Jun 14, 1975",England,Balanced,England (United Kingdom)
India,New Zealand,New Zealand,4 wickets,Manchester,"Jun 14, 1975",India,Bowling,England (United Kingdom)
Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 14, 1975",Australia,Balanced,England (United Kingdom)
